pos,corr_resp,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,probe.stopped,participant,session,date,expName,psychopyVersion,frameRate,,sequential rt,random rt,,,,
-50,x,0,0,0,0,15,2,62,0,,,,,165.1713817,166.1712322,166.1712322,166.1712322,166.1712322,166.1712322,167.1711541,167.1711541,x,1,0.3815273,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.274042,0.3815273,,,,
-50,x,0,0,0,0,15,3,63,0,,,,,167.571231,168.5709985,168.5709985,168.5709985,168.5709985,168.5709985,169.5708977,169.5708977,x,1,0.372912,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3538518,0.372912,,,,
-50,x,0,0,0,0,16,0,64,0,,,,,169.9707166,170.9706825,170.9706825,170.9706825,170.9706825,170.9706825,171.9705748,171.9705748,x,1,0.3484126,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.5234261,0.3484126,,,,
-50,x,0,0,0,0,16,1,65,0,,,,,172.3371259,173.3371661,173.3371661,173.3371661,173.3371661,173.3371661,174.3366765,174.3366765,x,1,0.4126158,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3191401,0.4126158,,,,
-150,z,0,0,0,0,16,2,66,3,,,,,174.7703124,175.7701286,175.7701286,175.7701286,175.7701286,175.7701286,176.7696053,176.7696053,z,1,0.4884157,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.4512973,0.4884157,,,,
-50,x,0,0,0,0,16,3,67,0,,,,,177.2865412,178.2865383,178.2865383,178.2865383,178.2865383,178.2865383,179.286125,179.286125,x,1,0.4909751,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.206572,0.4909751,,,,
-150,z,0,0,0,0,17,0,68,3,,,,,179.8030543,180.8028925,180.8028925,180.8028925,180.8028925,180.8028925,181.8026147,181.8026147,z,1,0.5195828,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.4398139,0.5195828,,,,
150,v,0,0,0,0,17,1,69,1,,,,,182.3526709,183.3527229,183.3527229,183.3527229,183.3527229,183.3527229,184.352111,184.352111,v,1,0.4824002,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.4108253,0.4824002,,,,
-150,z,0,0,0,0,17,2,70,3,,,,,184.8520581,185.8521191,185.8521191,185.8521191,185.8521191,185.8521191,186.8519265,186.8519265,z,1,0.3684438,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.5029481,0.3684438,,,,
-150,z,0,0,0,0,17,3,71,3,,,,,187.2519106,188.2517023,188.2517023,188.2517023,188.2517023,188.2517023,189.251906,189.251906,z,1,0.4404527,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3668011,0.4404527,,,,
